,text
748,Noise Cancellation is poor.
749,"                    The media could not be loaded.
                



 Nice product in one year warranty card"
750,Charging probalm
751,I have only one purpose for this - instruction from Google maps while riding. This was reasonable in terms of price. It serves my purpose well. Great to use.
752,Sound andnoise quality is good and charging should also happen
753,Very good qualty I love boat airdrops ✌️😍🔥
754,I like this product
755,Excellent product 👌👌👌
756,Totally satisfied with the product quality and price
757,useful when driving..
758,Very good sound quality and could say it's an amazing product for 8D songs.
759,Feel good to hear music through boAt wireless
760,IT is good product according to price point
761,"Totaly this product was perfect. This was my 2nd airdope from boat. The sound quality, noise cancellation and bass quality was gud. U can choose this without any hesitation."
762,Communication..
763,Okayish product. Doesn't fix on ear well.sound quality ok.
764,Enjoy a lot with good sound system
765,"After few days , found a charging problem . Its not get charged even plugged in for whole day . Not satisfied with this product 👎"
766,I want finger sensor on the buds but unlucky it's not like but product was very good and worth for money original boat airpods I love that product my camera is not clear but product was very good and clear
767,"                    The media could not be loaded.
                



 Bass kam hai baaki thik hai, achha lamba chalta hai. 👌👍"
768,This price range earbuds is  good with sound quality
769,West of money
770,"I Got it at a price of ₹ 750 via Amazon Pay LaterAt this price point it is far better than any tws or neckbands , but don't buy for ₹ 1100 it is not worth it , if your budget is greater than ₹ 1000 then go for any other model tws in boat or any other brandsPros : ( @ ₹750 price point)1. It's a great tws with good sound & bass2. Connects immediately with you device  whenever you take the buds outside the case  except for the first time3. Fits in your ear perfectly but there is a  disadvantage I'll tell you at the cons.Cons :1. If you're using the buds for the first time you  might feel some pain in your ears , but it  won't last long after using it for multiple  times2. The earbuds might slip out from your ears in  two conditions  (a) if your ears are wet ( i.e : during workout  and after bath  (b) if you are sleeping with the earbuds on  your either side of ear3. No Noise Cancellation4. The Lid of the case is very loose , it might  come out at any time5. Connectivity is very poor , the range is  mentioned as 10m but it's getting  disconnected even in my trouser pocket.6. Call Quality is very worst , if your buying this  for calling purpose don't buy it"
771,Very good I am happy
772,"                    The media could not be loaded.
                "
773,"                    The media could not be loaded.
                



 Itna zayada acha nahi nikla jaise maine socha tha"
774,Amazing
775,Not so good as expected
776,Other person not hearing properly due to audio call time
777,REVIEW AFTER 6 MOTHS.PROS:- 1)VERY COMFORTABLE AND SOFT!¡!!  2) AUDIO AND BASS QUALITY IS BEST!!!!  3) VERY LIGHT WEIGHT AND EASY TO  CARRY!!!!  4) FAST CHARGING !!!!  5) LONG BATTERY LIFE !!!!  6) GOOD FOR GAMING  7) EASY AND SUPER FAST  CONNECTING SPEED  CONS:- 1)POOR QUALITY MAGNET. AND  PULL OUT VERY EASILY BY SWING IN  AIR.  OVERALL THAT IS THE BEST PRODUCT OVER THIS PRICE SEGMENT.
778,In this price range this is nice product. Noise cancellation like other boat dopes very poor. Battery life is 5 6 hours approx.
779,Given warranty  of 1 year but its only after 4 month battery of the box  is not working properlyHaving  issue with charging case
780,Good
781,Good product
782,"This was the first wireless earbuds I ever bought. Safe to say, I was thoroughly impressed and will stick to wireless earphones from now on.𝗣𝗿𝗼𝘀:• Great sound quality. Music on this is fantastic. Although the noise cancellation isn't perfect, it doesn't let in enough ambient noise to affect your enjoyment of the music. As a fan of rock music, guitar riffs, drum beats and bass lines are brilliant on these headphones.• Good battery life. There aren't much to wireless headphones. Audio quality and battery life are the two technical aspects. The battery life on this product is very long. I use regularly for an hour or two per day and the battery lasts over a week usually.𝗖𝗼𝗻𝘀:• Not the most comfortable or clean. The rubber buds sometimes press into the inner ear and can slightly hurt your inner ear. The grooves on the pod also accumulate dirt a lot. It requires regular cleaning after prolonged use.Although much newer models are out, this product is a nifty device which helped grow the earbud market."
783,The top cover is loose and fragile. A possible problem at the hinge.
784,Good
785,Very nice..... product....i luvd it❣️
786,"Built quality is good n sturdy, sound quality is also good for this budget but the bass is not that deep. Backup is also good."
787,Very nice product 👌🏻👌🏻.  sound and Bass quality is very good ...
788,Charging case is loose
789,Not bad
790,Value of money.. Nice products
791,Left noise will be not connected
792,I was very happy happy with this product. But I am giving it a 3 because one earpod stopped charging itself. I thought it's the charging box but its the pod itself. Its not holding charge either. Went from 60 to 20 in 10 mins with low volume usage. I really loved it but boat should do better with it.Battery-10/10 (6 months) spoiled after thatSound quality -7/10Bass-8/10Noise cancellation -7/10Overall-7 or 6
793,case light & weight / my7 days used but case very Craig's
794,I like this product
795,Noise cancellation is below average. Sound quality overall is good. Bass is OK.
796,The audio quality is just superb.And it's battery lasts for 3-4days if we use it daily for 5-6hours.Using it since 2 months and it's just commendable in such low price.So go for it if ur budget is under 2000rs. And you are expecting an amazing earphone.
797,Sound is osm
798,It's good
799,Value for money
800,Surrounding sound always
801,It's very delicate and can't be used in travelling.
802,Everything is fine like the sound and yeah it fits in the ears perfectly but the issue it's battery has some problems like when I connect the to the phone it shows it's fully charged but the battery indicator on the cover shows something else and it goes down very fast like it was 84% one minute another it is 34%. And it has some connecting issues too.
803,"After two days changing unit is not working,but the return date is over"
804,
805,Good
806,It's a nice product but I guess there are better. Overall I liked it. It fits nicely in ears and easy to connect
807,All are good
808,Nice product.
809,"I have received good packaged product but The charging indicator stops at 80% not to go at 100%  even after 0 %  battery it shows 80% all the time. Battery Backup is good enough for normal user .The sound quality of this product is very poor, the bass in it is very low. I am not a big fan of music , but in listing on 3d songs I feel bored . Better to have Other product than this."
810,Sound problem
811,"Good for you I bought two time,"
812,"Actually this product was nice but during call there is a some disturbance and  voice was not clear and during listening music ,programs the sound was clear ,no disturbance very thing was perfect thank you amazon"
813,"                    The media could not be loaded.
                



 Sound quality not meet my expectation"
814,Nice
815,I have been using it from last one year it's awesome
816,Good product for the price
817,It is not best
818,Good
819,
820,Less SoundBass is not up to markLook Bit bog in ears
821,Nice product
822,"                    The media could not be loaded.
                



 Fill haal thik hai... Baki aage dekho kaise chlata hai"
823,"The only issue is sometimes it takes 20-30 seconds to connect to a device. Also, we cannot increase or decrease volume from the earphones, we have to use device ."
824,"                    The media could not be loaded.
                



 Sir hamara 1 buluetuth kharab ho gaya haiRaet saed kharab ho gaya hai"
825,Battery backup is very nice and sound quality
826,Good quality
827,very very nice products and battry life nice
828,Good
829,It's all over good but sometimes the sound fluctuates which is not good. But no problem it's only fluctuates sometimes.The case is good. Earbuds are of good quality. Overall I've given it 4 stars
830,Best
831,Abi 2month huye h khrab bhi ho gye Earbuds ek charge nhi ho rha 😥 sound quality average hai 👎👎
832,Great on Expectations.
833,Verygood
834,Good sound quality. Small and easy to use.
835,Super product nice
836,"Product is not confortable. After some time  volume becomes low. when we use light blink, not good at night time."
837,I got it for 999. It has good sound for this price range.  But there is connection drop for a second there once every use. Good size and light
838,कृपया मुझे अच्छी और दोनों एक साथ चलने वाली एयर बर्ड दीजिए।ये वाली एयर बर्ड एक साथ दोनों नहीं चल रही।।
839,It's super for gaming purpose which is in budget and also it is very useful for anyone who wants a noice cancellation air pods... Will recommend it
840,The product is very impressive but the service of the product is very bad i am using it from 8 month now i am facing charging issues on it due to this i claimed for return but the claim is not accepted by the boat and also not get helped on it by amazon
841,Good Product
842,Bought it for the convenience of use. Sound quality is good.I think Bluetooth will not beat wired quality.
843,"The product was working fine and the sound was good as well. But after 10-15 days, the battery indicator is not working and the eardopes are not connecting as well. Please solve this issue as soon as possible, I want my eardopes to be repaired or exchanged."
844,Gggoooddd
845,
846,Very good App of Amazon and products
847,"Sound quality is good!, battery storage capacity is good! Writing this review after 3 months of usage."
848,
849,Issue
850,Good product ...Worth of money ...Happy customer
851,Amazing
852,"It is very comfortable to use. Bass isn't really impressive, but it still gives out good quality sound. Decent battery life so far, hope it stays this way. In short, you won't get anything better at this price. So Go for it"
853,"I recently bought this product and so far it's working fine with good sound quality, connects quickly to the device and compatible device. The charging thing really makes me happy. The only thing I'm disappointed with is the grip to get the buds out of the charging case otherwise overall a good product to buy. Thank You!!"
854,Sound quality is goodGood battery lifeBut mic is very bad
855,Good
856,Verry good
857,This one promises 10 metres range but in a month the earphones could not even provide more then 3 metres of range. This product cannot be used for video calls or office calls. Other party keeps asking to repeat what you said... This is good product of you only want to use for listening to songs or watch YouTube videos. Pay some more and buy better quality product
858,"                    The media could not be loaded.
                



 My left side Bluetooth is not working at allOne side of the Bluetooth is not workingSound quality is good"
859,"The sound is just decent not exceptional.One of the bud opened up, not very sturdy.I have email boat support for warranty as their number is on the booklet is now available.It been a 1 now still no reply from customer service.My previous customer experience with boat has been good, hope full this time its the same"
860,Sounds fun of every times
861,"Really good for handling, carry outside, and fit properly in ear I mean light weighted. Sound quality is average. Bass is quite low. But still Good product"
862,Using it from 1 week till now no issues with it ... Good product
863,"                    The media could not be loaded.
                



 Bettry 9 hours continuously"
864,Not much satisfied
865,"After use about a month, I am satisfied, and likely to go for more items from the brand.Revised : After use for about 3 months, facing the following issues : (1) the case charging indicator has gone bad, (2) Charging of case sometimes fails ( no blinking of display)  when plugged to my PC. Obviously the the PC was running when it failed and same USB port is used always."
866,Fits well within the ears and offers good quality. Tiny design
867,Boat bohat badhiya product hai bahut Achchaboat bahut badhiya product hai bahut Achcha
868,"Good product for conversation, but it fits too tight in ear that you can’t hear anything if this is in ear and sound is playing"
869,"Overall poor performance... Sound quality is not that good while watching videos...On calls, it echos and cracks the voice.. has fitting issue as well. Had called for replacement,, but didn't test the product as the replaced product seemed to be used one, having scratch marks and even the box got fungus on it! Returned the product for the same."
870,పెద్దగా ఏమి లేదు
871,Sounds and battery timing super and same time worth of money
872,I really like this
873,Good
874,Nice just go with boat
875,"Simple, compact and has a better battery backup. Fit may be sluggish, as is was in my case, but it may be based on individual."
876,"                    The media could not be loaded.
                



 Boat company ka sabse achcha Bluetooth headphone hai aur kam dam mein hai aur battery pickup achcha deta hai"
877,Instant connection. Noise cancellation is superb. I am a returning customer.
878,"Best product, value for money"
879,I won't recommend you to buy this product as it's sound quality is good (could have been more great) and it is not stable It usually falls from one side and after 4-5 months the left side airpod stopped working overall this was not worth the price and hype 😑
880,Best one ❤
881,Like this music
882,Product is good for ears
883,
884,Good in budget
885,Bluetooth connectivity issue
886,Base is low but sound quality is so nice
887,One side stopped working after a few months.I will not recommended buying this.
888,Sound quality is very good.
889,Veryyyyy good quality. I was finding these for a long time and I finally got it
890,One side airdrop not working. Suggest customer care
891,one earpiece started draning bettery very quick. in just 2month. build good products otherwise you going to destroy your brand.
892,Good quality.. Product Same as photos.
893,Worthit for money in this range.If you are a student then it is worth it.
894,Good product
895,Good buy . Genuine product . Quality is good
896,Very nice and comfortable. Sound clarity is excellent. Good battery life.
897,Sound quality is good.
898,"People can't hear you clearly on call, too much noise it creates during call."
899,
900,
901,
902,"                    The media could not be loaded.
                



 Good perfect"
903,"                    The media could not be loaded.
                



 Must go for it .. cheap and affordable"
904,Was lucky to get a great deal during festivals
905,Not good
906,"Product is good but delivery partner is not good they delivered my product after one day,one day delay."
907,फोन पर बाते करने और music सुनने के लिए अच्छा है
908,Excellent battery time
909,Nice product
910,
911,Good one
912,Music primarily
913,Excellent one
914,"                    The media could not be loaded.
                



 Sound quality down"
915,Awesome
916,Beauty
917,All good
918,
919,Thanks
920,Look is amazing and sound quality is good
921,Great product for the price but the quality for Hammer is better!
922,Easily falls off the Ear
923,Nice sound quality ..Little bit low in baseRemaining All good at this budjet.
924,HiiIts been 8 months i have been using this device but since 1month i have been facing a issue in the deviceIts not charging properlyIts in the warranty actuallyI was looking for the sellers contact numberIt would be of much help if you can provide me with the sellers number .So that i can get it replaced .Waiting for your responseThankyou
925,Charging slow Hoti hai case mein and drain bhi jaldi Hoti haiBass acha hai and sound quality
926,
927,Only one earbud gets connected with my iPad otheriwse the product is good and has a very good battery life
928,Super
929,
930,Value for money
931,ProsQuite small and lightweightGood Bluetooth rangeCan activate Siri or Google Assistant depending on your smartphone2-3 days of battery backup (if used 2-3 hours a day)Good audio qualityDecent mic outputEarbuds offer good built qualityConsThe charging lip of the case seems fragile.Constant cleaning is required while handling the earbuds as they are slippery.Can connect to only one device at a time.
932,It echoes for the person on the other end during phone calls. There’s some issue with the settings.
933,Very nice airdrop for listening songs and watching videos. If you are looking for these reasons don't hesitate just go ahead. I am recommending you.
934,Sound is very good.....noise cancellation best bass quality is most beautiful
935,battery should be improved
936,"                    The media could not be loaded.
                



 Osm product 🔥👌"
937,Absolute amazing product in this prize segment.... Sound is awesome.. if you have a tight budget like me I would strongly recommend this product..
938,"                    The media could not be loaded.
                



 I ordered peach coloured boat eardopes and these are amazing!Sound quality is amazing like even simple songs sound as 8D songs..Perfect and 5 star noise cancellation...Highly recommended at this price range!!!"
939,
940,Good quality
941,I liked this bciz soundd is veryy gud. It's working properlu
942,Nice product boat ear buds
943,"Sound quality is good. However, gets disconnected often and then self connects again"
944,"Fit to at very well, Voice quality just above average."
945,I like itBut bass is less
946,"While the product is really good, the sound quality is nice but the built quality is really poor AND IT GIVE NO WHERE CLOSE TO 40 HOURS I could barely juice out around 8-9 hours with 100 % case battery i thought I had this problem with my unit so i exchanged it but the second one even drains faster do not buy if battery backup is important for you"
947,Quality is good
948,Very nice quality good product
949,Sound mast hai
950,It's sound quality is good
951,Like
952,Nhi sahi hai
953,"                    The media could not be loaded.
                "
954,"                    The media could not be loaded.
                



 Super I like it sound is super coming 😍👌👌👌👌✌️"
955,Dislike
956,"Good sound, but bass is not enough. And longevity is very low, on continues use it will last just for 2.5 to 3 hours"
957,Very nice
958,"                    The media could not be loaded.
                



 Great product"
959,"Not a good Bluetooth connectivity especially with laptop where in every few seconds the there is connectivity issue. Also while speaking over mobile while you are outside, the other person over the call is hardly able to hear."
960,Clear sound
961,
962,Pretty decent at 650
963,"Sound quality and also right one doesn’t work properly, sometimes it connects, sometimes it doesn’t"
964,अच्छा है
965,"I primarily use this for listening to music; but i take them off when attending a call. The reason is that the voice starts breaking if I take calls on these earphones.Noise cancellation feature suppresses outside noise, but you can still hear people speaking to you.Sound quality is good.Adding just one final point to allay any fears - these don't fall out of my ear once inserted properly."
966,Liked the airdopes due to noise cancellation.
967,"I mostly use this when iam working out in gym, noise cancellation is good and sound quality is fine. Fits perfectly on my ear. Doesn't fall off when I jog or run."
968,According to price the product quality is average and the company should work on the bass quality as well as the case of this buds are very low quality I feel personally...as an Indian brand I love to use boat but the company should take care these small changes to make the product more beautiful and actract more people to use and buy their products....
969,Very comfortable.
970,Just ok
971,"I was scared and was having second thoughts when I saw so many negative reviews regarding the product. But, after using the airbuds for a month now, I have pretty positive things to say (coming from a careless person). Sometimes it shows mild connectivity issue; but the sound, the bass quality with respect to the price- it is worthy."
972,It's okay
973,Noise sound bad
974,"                    The media could not be loaded.
                



 Airdopes Switch button is not working properly"
975,Very bad in speaking with others.Cant talk in phone voice wont be clear to the hearer
976,Okayish product but better available in the market
977,Bass വളരെ കുറവാണ്
978,"The airdopes are awesome, i really loved it. The backup is really good. I would recommend to buy."
979,best earbud ever to with high quality sound and clear bass iam recommended to buy this product
980,Voice over phone call is not clear.
981,Very nice product. Cute charging case. Voice is perfect. Both earbuds working very well. Must buy it.
982,Good sound quality
983,Great product atleast in this price. I bought it for 799.. If you want to buy in this budget then go for it..
984,Self
985,"Noise cancellation is not good, bluetooth connectivity is @ 12 seconds so yr call is disconnected while you detached buds from box to ear. After connection established voice quality (out) is very poor (if you record yr call and listen you can justify. Meantime you have to consider what's happening @ other end.)Over all performance is average like other non branded buds. Yes battery backup ia upto the mark.This review is after 20 days of regular use."
986,Good
987,Worth the money
988,Sound is a bit low. But for 1200 it's worth
989,Bahut achchha hai
990,
991,NICE
992,"I like it,but its not fair by amazon ;its prize decreace 500 rupees with in 3days .dukhhta h yaar"
993,Case build quality is not nice
994,Best
995,I bought it 2 months ago and my left earplug isn't working. Please suggest if It can be replaced?
996,Over all good product... But not noise cancellation..
997,Not having bass in boat ear pod 121v
998,Best quality any this product lies in its design
999,Boat jbl
1000,"Actualy after using a month, my right bud drop on the floor a multiple times and the outer cap broken, but bud is working fine,, so i ordered for replacement via warenty card...thank you boat team i got a new one 👏👏"
1001,Good
1002,Warranty under damage one earbuds not working please return shortly
1003,Good
1004,Nic
1005,
1006,"Good quality and bass is good in this price and useful in Gym, Running Time"
1007,"                    The media could not be loaded.
                "
1008,Sound quality good but noise canceling poor
1009,Muth lana
1010,Improve quality
1011,sound quality and effects is good
1012,Like this... easy to use... Comfortable with using it while traveling long distance via train or bus
1013,Talking on phone is difficult as the person on other side gets disturbance. For listening to music and all its nice. Over all my usage is less so they are good for me.
1014,"                    The media could not be loaded.
                "
1015,Same issue with the earlier return productI think all electronic products are defect in AmazonBecause this is not a first time every time I get defect pice only
1016,Isse achchha aur koi nahi
1017,With these earbuds I can hear clearly. But the other side person cannot hear my voice clearly
1018,It is a very good product
1019,Sound quality is awesome. Go for it👍
1020,Overall sound quality is good
1021,This product is Good & best quality
1022,"After 1 day , it's become too dizzy in sound"
1023,I have purchased on March but right side not working in July so very bad experience in this product.
1024,
1025,Left bud stop working within 1 week. Bad product...
1026,"good music quality, but really bad on phone calls. reciever cant hear anything"
1027,Good
1028,Good
1029,Case got loose though it hasn't been even a month since I bought it and the right airpod isn't fitting correctly or charging properly
1030,Mhuje pasand nhi h ye demage hai
1031,I like this airbud
1032,"Airbuds are not charging properly,"
1033,Good
1034,Experience wase good
1035,Sound quality is very good
1036,Best product in this price
1037,Not recommended
1038,this product is most important for me. Thank you Amazon.
1039,Must buy....Excellent....
1040,"It's really unbelievable, sound quality is very good and very easy to carry 👍"
1041,It's very good item but my earphone is not charging the right is not charging can u return it
1042,Good product
1043,Good Vibes
1044,
1045,"All things are good for this product...But I am disappointed with as this product is good for listening when you are on ca and not good if you speaking. I have received replacement even the new one has the same issue. I thought it might be issue in my mobile. I have connected to other mobile phones, got the same issue.Please do suggets"
1046,Bass n music quality is good but mic range n spekerfone claritt is poor
1047,Good quality as expected
1048,Amazing product
1049,Value for money
1050,Average Sound Quality but great for running & workout
1051,You can only use this for listening songs and movies. No use for calls ...worst microphone. Build quality very poor...connectivity is also weak. Even though you carry phone in your hand it keep disconnecting itself during listening music forget about during call...wo toh chance hi mat lena.
1052,"Good sound quality and sensible battery life, like this product👍🏻"
1053,Like
1054,Nice products but call krne time voice kam ata hai.... Pher v bhot accha hai.. ❤️❤️
1055,
1056,"                    The media could not be loaded.
                "
1057,It's a good product at this price range
1058,"It's not even a month, the left side of the airdopes is not charging .its saying battery low.and whenever I try to connect the Bluetooth..i am not able to connect. Can any tell me what's happening ..? Seriously ! I bought this product by saving every penny and the result is not as I expected .."
1059,Amazing earbuds in such a low prize thanks boat and Amazone….
1060,Ok
1061,"Kindly change the product. This product is faulty, not charging more than 92% and not showing discharged % , always showing 92%. Kindly change."
1062,Osm
1063,For all purpose the connectivity should be improved
1064,1- Sound and bass are very really good with this price range2-noise cancellation is well3- battery is long lasting4- not so comfortable and easy to fall from ear
1065,The product was superb.Thank you team Amazon 🙂
1066,Good quality 😊
1067,Nice product
1068,Excellent
1069,I bought these earbud to make calls but it's having the issue from the Beginning that other person can't hear my voice clearly and now the left earbud also stop working after only 2 months of use. its really not worth the money I paid.
1070,I buy this boAt Airdrops and there is some issue with it and I returned this product and I didn't get my refund till now.
1071,"                    The media could not be loaded.
                "
1072,Excellent bass. Super slim compact design.
1073,Good
1074,Good product
1075,"Noise cancellation is good but not perfect,sound quality is good but base is not perfect"
1076,"                    The media could not be loaded.
                



 Best buds to buy value for moneyWorking greatNot hurts on long time usageAwesome sound qualityGreat colours availableBetter battery backupLove it⭐⭐⭐⭐⭐"
1077,Awesome👏😊👍 very nice products 🏅🥇📼I'm very happy😊😁
1078,Everything is good about this boat product..
1079,Nice buds in 899
1080,Not good vice in airbude
1081,"Good packing and delivery. Lovely case with battery indicator on the charging case, the airdopes are of same color as case , the bud fits in each ear though can fall off easily on any movement. Handbook and wc provided. But all this doesn’t fulfill the quality of sound and Bluetooth connectivity by this particular earbuds- It’s very poor and keeps crackling even if the phone kept at close proximity or in pocket. The other person on line cannot receive the conversation and conveyed in bits pieces making a complete phone conversation very difficult- this is on stationary premises; travelling or vehicle commute might make it worse. Having 3-4 different brands hands free EarPods/earbuds, this by far is the least Bluetooth connectivity, poor service- overall not good investment."
1082,I like this product
1083,Everything is good except it's battery. It have so battery drain
1084,Ok product
1085,"Gud speakers, gud for listening to music. Not gud for phone calls as mic cannot catch wat u speak wen both earbuds in ears, u need to hold one ear bud close to ur mouth to make other person hear wat to speak properly, poor noise cancellation. U can walk, jog n do moderate exercise without fear of airdopes falling from ur hears"
1086,I like this earbuds
1087,I like the product but its not that much good as i expected
1088,Good
1089,I like the sound quality and battery but I wish there was sound button or button to change or shuffle the songs.Overall nice 👍
1090,"The product is good, battery life is good 4 hours. But when u place the phone in bottom pockets and walk or exercise while the earbuds are on, they get disconnected and reconnect. I don't know about others but with my set that I got. This is the issue."
1091,only Boomi Bass Lovers Buy This 👍
1092,"So this is a cool and affordable product to everyone but it has a ""drawback"" that is calling person ""will not"" be able to hear u, so u need to switch to ur phone to reply to the call but the merit are good that is the sound and bass is cool to hear and noise cancellation not so good if we r in a very crowded place and the build quality is too good and if we can make r buy a case for the product will last for long and finaly the backup of the case battery and airbuds there are too good of backup we can use 6 to 8 hrs of single charge with only music and in my usage i use in a day of 10 hrs daily and i charge tris a day and this is review of 1 year usually guys."
1093,Nice 👍 Prodect
1094,"                    The media could not be loaded.
                



 Everything is very fine....i gifted another set was my hubby he also very happy"
1095,
1096,Good quality and sound
1097,Bad
1098,Does the job good. Best if you are a casual music listener and watch videos. But not for Pubg and cod I have tried it and it’s not that good . Enjoy 😊
1099,Very nice product
1100,I love it
1101,"Audio quality is good, correct fit the ear, no lags feel when watching video..... I recommend"
1102,
1103,Everything is fine except calling..The other side can't hear when calling mostly
1104,Bhut acha
1105,Good sound with battery backup.
1106,"Product is good. Retrun Part is missing ,If you are not satisfied with product.Kindly,Request you to pls provide return and exchange both in it instead of just only exchange,so that we can choose some other best quality of product in boat."
1107,"Nothing is too dislike,"
1108,Gud product. Battery backup is gud
1109,"Product is light in weight, completely filled in ears with gripSound quality quite goodOverall good product in this rate"
1110,Love the sound quality 😇
1111,"                    The media could not be loaded.
                "
1112,Like
1113,Nice
1114,Nice product with good price of 799 great Indian sale
1115,Quality is good
1116,Bass
1117,Good
1118,Nice product
1119,One is missing
1120,Microphone is not good while calling.
1121,Good product
1122,"Build quality is Awesome, but because of size fitting in ear, My both the earbuds went in toilet, although it was connected with mobile for more than 1day from there also...Aman Ji, quality of your product is actually awesome, please understand and improve the compatibility also."
1123,
1124,Usefull
1125,"                    The media could not be loaded.
                



 Just Awesome Airdopes Under This Price Range.... ❤️✌️"
1126,Poor mic quality
1127,"                    The media could not be loaded.
                



 Refund is product"
1128,पसंद है
1129,Good
1130,Its fine only it doesn't fit my ear well enough...so i am constantly worried about its falling when i jog with it.
1131,"Over all its a good product but i will only talk about what are the flaws 1.the sound quality is not that great in comparison to other boat product such as boat rockers225  2. The battery cab be more better it only 4 hours and last but the biggest flaw is it doesnt fut properly in the your ears so cant do much work when it on you,and can never take with for cardio and gym if you are use it only to watch movies and listening song at home that it good need to extra careful while using it as the ear piece falls"
1132,I personally liked the product but I would not recommend it as there are many more great alternatives.
1133,Like
1134,
1135,
1136,I like the airpodes genuinely..have good sound effect and we don't have to charge again and again ...also I am using these airpodes since 1month and these are working okk..
1137,Good product
1138,It was good for about 2 months. While charging there was a weird burning smell and one of the earbud was burnt. It didn't last for me.
1139,After one month right  airpod's battery low after 30 min of recharge  fully 100%. Need to replace.
1140,Good 😊
1141,Data cable is not working for charging
1142,It fits perfectly. Sound quality is super.
1143,"Well! I'm writing this review after 1 year of purchase, and undoubtedly I'm happy with my choice. It's budget friendly and good for heavy users."
1144,Good
1145,Good
1146,"                    The media could not be loaded.
                



 Quality,bass,sound,nosie cancellation all are very good, worth of money"
1147,Very good performance
1148,"doesn't connect well. If i stand corner to corner in my room, the voice starts breaking."
1149,"                    The media could not be loaded.
                



 Best quality and best sound product 👌"
1150,To much noise disturb on call
1151,nice
1152,Good
1153,
1154,Very poor sound quality. Felt like using 50 rupees ear phones. If you keep charging your phone and try to pick a call more than 3 meters you cant hear a voice like bad signal. At least it should work within 5 meters range.
1155,"                    The media could not be loaded.
                



 This red light of left earbud does not turn off"
1156,"It's been more than 2 months since I've purchased this airdopes and they work really good till date...Although the sound quality is good but if u r aiming for an airdopes with noise cancellation as one of it's feature then this is not the one that u must go for! From my experience, I could literally here each and every external sound clearly enough to distract my concentration while I was attending my online classes😂 The Quality of the product is really good and appreciable but the mic quality of the airdopes is kinda horrible especially during phone calls... But using it for a long time now, I'm quite adjusted and comfortable with this product..lastly I can say that this product is good despite having some drawbacks as it can be used for long-term...And Oh yeah! Not to forget, the battery is also average (not the best) but it's kinda funny to say that the charge gets reduced to 30% within few hours (after being completely charged to 100%)but once it gets 30%, it's lyk the charge stops decreasing and u can use the airdopes for another 2-3 hours..i hope u r understanding what I'm tryna say... And that's all I had to tell, I hope this helps u🖤"
1157,"Everything's great, satisfied with this product."
1158,"                    The media could not be loaded.
                



 Call connect outputs not clear voice."
1159,Just love it. Thank you Amazon and Seller
1160,nice product worth for money for more detailed review connect gvbalajee youtube channel best detailed review and more detailed information
1161,"Very good sound,clr"
1162,"Over all ok,but for calling it is not good"
1163,I am using this product everyday and quality is good
1164,Fast service and good product
1165,
1166,Good
1167,Sound quality is the best but it is coming some slow70%.  bass is soo good 100%
1168,I bought it 2 months back and now one side there is connectivity problem.
1169,"                    The media could not be loaded.
                



 One Not working"
1170,Not working
1171,Okay 👌
1172,good
1173,"Calls not clear noise sound heavy so only for just music preference, calls 0marks, music 3, battery life 5marks, cost heavy 🙏🙏🙏"
1174,"                    The media could not be loaded.
                



 Very bad"
1175,Nice bass and sound
1176,"Good product, quality is also good but I can use it only for listening. Not recommended for calling purpose"
1177,Sound quality is good.
1178,Like the sound quality
1179,This is a worthless earbuds.Sound quality is also not like other headphones.mic is just super bad and other person can only hear you mumble.please go for boult.Cheap chinese product.Not at all worth the price.Please go for boult or noise products
1180,In this budget it's good option. Well built quality product. I am using from last one month and it's going well no such issue till now. So it's affordable and best in this rate
1181,I just love it
1182,Boat Airdopes sound quality super  nyc working  allover good 😊 I'm happy love it
1183,I have purchase this product few months running and  last time not working properly I am contact service centre they are not respon my complain. Miss behaviour staff .
1184,Color change
1185,Worthy in this rate
1186,Pocket friendly. Can use long hour and battery 🔋👍. For riding the bike wearing helmet we not feel 👂 pain.
1187,At low volume levels on phones setting you can't hear anything but when you put it to max everything sounds perfect
1188,The audio quality while listening to songs is satisfactory but not so good while speaking or while receiving calls. Guess the microphone quality isn't all that great. The caller on the other side gets to hear our voice echoing.Pls look into this aspect and improvise
1189,मी वापरतो मला आवडले.
1190,
1191,Nice may be they should pack it somewhat more safely. But everything is good 😊😊
1192,Best coulety
1193,"Sound quality and overall functions are great :> but the lid is a little wobbly, doesn't feel the most secure and there are a few scratches on the plastic of the earphones but overall it works well! Thank you :)"
1194,Better
1195,Gud
1196,I ordered it for rs 999 its led battery indicator stopped working within two days after the first charging only😡
1197,
1198,Not for music lover.
1199,Product is awesome
1200,"The product comes with a micro USB charging point instead of type C like most other products. This effects the time of charging. But I guess at the given price, this is what I get. The sound quality is good. Calling and music are great."
1201,Nice airpids
1202,Nice product
1203,Super product on this Price
1204,maximum used 6 months after charging port was not working
1205,Very bad qualitySound quality is normal..Noise cancellation bad...
1206,"It does the job pretty well. However, its not a 5 star product. For the money you pay, it does the job quite decently. The midtones can be way better and the bassline could also be improved. For me, hearing the midtones more than the unusually unnatural bass is far more satisfying. Call quality is quite decent."
1207,"It is good product but,their is an issue that its band width is little bit not strong. Am facing this issue on this product."
1208,Don't go for it
1209,Sound quality as well as bass was worst and doesn't to my standards.
1210,"                    The media could not be loaded.
                "
1211,Serve the purpose
1212,
1213,Good
